,Question,Equation,Combined,Answer
565,You had w bags with equal number of cookies. If you had x cookies and y candies in total How many bags of cookies do you have?,( x / w ),You had 14 bags with equal number of cookies. If you had 28 cookies and 86 candies in total How many bags of cookies do you have?,2
566,Jerry had w action figures and x books on a shelf in his room. Later he added y more action figures to the shelf. How many more books than action figures were on his shelf?,( x - ( w + y ) ),Jerry had 2 action figures and 10 books on a shelf in his room. Later he added 4 more action figures to the shelf. How many more books than action figures were on his shelf?,4
567,Mary is baking a cake. The recipe calls for w cups of sugar and x cups of flour. She already put in some cups of flour. If she still needs y more cups of flour How many cups of flour did she put in?,( x - y ),Mary is baking a cake. The recipe calls for 5 cups of sugar and 13 cups of flour. She already put in some cups of flour. If she still needs 12 more cups of flour How many cups of flour did she put in?,1
568,"Rachel had to complete w pages of math homework, x pages of reading homework and y more pages of biology homework. How many pages of math and reading homework did she have to complete?",( w + x ),"Rachel had to complete 9 pages of math homework, 11 pages of reading homework and 29 more pages of biology homework. How many pages of math and reading homework did she have to complete?",20
569,Paige was helping her mom plant flowers in w flowerbeds. They planted x seeds altogether. If they put same number of seeds in each flower bed How many seeds did they plant in each flowerbed?,( x / w ),Paige was helping her mom plant flowers in 8 flowerbeds. They planted 32 seeds altogether. If they put same number of seeds in each flower bed How many seeds did they plant in each flowerbed?,4
570,He then went to see the oranges being harvested. He found out that they harvest w sacks of unripe oranges and x sacks of ripe oranges per day. How many sacks of ripe oranges will they have after y days of harvest?,( x * y ),He then went to see the oranges being harvested. He found out that they harvest 25 sacks of unripe oranges and 5 sacks of ripe oranges per day. How many sacks of ripe oranges will they have after 73 days of harvest?,365
571,Paul had w books. After giving x books to his friend and selling some books in a garage sale he had y books left. How many books did he sell in the garage sale?,( ( w - x ) - y ),Paul had 134 books. After giving 39 books to his friend and selling some books in a garage sale he had 68 books left. How many books did he sell in the garage sale?,27
572,Paco had w salty cookies and x sweet cookies. He ate y sweet cookies and z salty cookies. How many sweet cookies did Paco have left?,( x - y ),Paco had 97 salty cookies and 34 sweet cookies. He ate 15 sweet cookies and 56 salty cookies. How many sweet cookies did Paco have left?,19
573,The school is planning a field trip. The school has w classrooms. x school buses are fully filled with y seats on each school bus. How many students are in the school?,( x * y ),The school is planning a field trip. The school has 84 classrooms. 95 school buses are fully filled with 118 seats on each school bus. How many students are in the school?,11210
574,Faye was placing her pencils and crayons into w rows with x crayons and y pencils in each row. How many pencils does she have?,( w * y ),Faye was placing her pencils and crayons into 30 rows with 71 crayons and 24 pencils in each row. How many pencils does she have?,720
575,Faye was placing w pencils equally into x rows. How many pencils did she place in each row?,( w / x ),Faye was placing 12 pencils equally into 3 rows. How many pencils did she place in each row?,4
576,"Julia played tag with w kids on monday, x kids on tuesday and y kids on wednesday. How many more kids did she play with on monday and tuesday than on wednesday?",( ( w + x ) - y ),"Julia played tag with 15 kids on monday, 18 kids on tuesday and 7 kids on wednesday. How many more kids did she play with on monday and tuesday than on wednesday?",26
577,Baker made w cakes. If he sold x of them How many more cakes did baker make than those he sold?,( w - x ),Baker made 133 cakes. If he sold 51 of them How many more cakes did baker make than those he sold?,82
578,There are w bananas in Philip's banana collection. If the bananas are organized into groups of size x How many groups are there?,( w / x ),There are 18 bananas in Philip's banana collection. If the bananas are organized into groups of size 2 How many groups are there?,9
579,Olivia spent w dollars at a supermarket. If there were x dollars in her wallet initially How much money does she have left?,( x - w ),Olivia spent 38 dollars at a supermarket. If there were 128 dollars in her wallet initially How much money does she have left?,90
580,Baker sold w cakes. If he had made x cakes initially How many cakes would baker still have?,( x - w ),Baker sold 44 cakes. If he had made 48 cakes initially How many cakes would baker still have?,4
581,Every day Ryan spends w hours on learning chinese and some more hours on learning english. If he spends x hours more on learning english than on learning chinese How many hours does he spend on learning english?,( w + x ),Every day Ryan spends 5 hours on learning chinese and some more hours on learning english. If he spends 2 hours more on learning english than on learning chinese How many hours does he spend on learning english?,7
582,Rachel had to complete w pages of math homework. If she had to complete x more pages of math homework than reading homework How many pages did she have to complete in all?,( ( w + w) - x ),Rachel had to complete 8 pages of math homework. If she had to complete 3 more pages of math homework than reading homework How many pages did she have to complete in all?,13
583,Dan has $ w. He bought a chocolate for $ x and a candy bar for $ y. How much money did he spend to buy candy bar than he did to buy chocolate?,( y - x ),Dan has $ 5. He bought a chocolate for $ 3 and a candy bar for $ 7. How much money did he spend to buy candy bar than he did to buy chocolate?,4
584,Jessie weighed w kilograms. After she started to go jogging everyday she lost x kilograms in the first week and y kilograms in the second week. How much did she weigh after the first week of jogging?,( w - x ),Jessie weighed 92 kilograms. After she started to go jogging everyday she lost 56 kilograms in the first week and 99 kilograms in the second week. How much did she weigh after the first week of jogging?,36
585,"Julia played tag with w kids on monday, x kids on tuesday and y kids on wednesday. How many kids did she play with on tuesday and wednesday?",( x + y ),"Julia played tag with 2 kids on monday, 14 kids on tuesday and 16 kids on wednesday. How many kids did she play with on tuesday and wednesday?",30
586,w children were riding on the bus. At the bus stop x children got off the bus while some more got on the bus. Then there were y children altogether on the bus. How many children got on the bus at the bus stop?,( ( y - w ) + x ),21 children were riding on the bus. At the bus stop 10 children got off the bus while some more got on the bus. Then there were 16 children altogether on the bus. How many children got on the bus at the bus stop?,5
587,Baker made w cakes. Then he made x more cakes. He sold y of them. How many cakes would baker still have?,( ( w - y ) + x ),Baker made 62 cakes. Then he made 149 more cakes. He sold 144 of them. How many cakes would baker still have?,67
588,Paul got a box of some crayons for his birthday. By the end of the school year he only had w crayons left since he had either lost or given away x of them. How many crayons did he get for his birthday?,( x + w ),Paul got a box of some crayons for his birthday. By the end of the school year he only had 291 crayons left since he had either lost or given away 315 of them. How many crayons did he get for his birthday?,606
589,Jack received w emails and x letters in the morning. He then received y emails and z letters in the afternoon. How many letters did jack receive in the day?,( x + z ),Jack received 5 emails and 6 letters in the morning. He then received 9 emails and 7 letters in the afternoon. How many letters did jack receive in the day?,13
590,Lewis earns $ w every week during the x weeks of harvest. If he has to pay $ y rent every week How much money does he earn during harvest season?,( w * x ),Lewis earns $ 403 every week during the 233 weeks of harvest. If he has to pay $ 49 rent every week How much money does he earn during harvest season?,93899
591,He then went to see the oranges being harvested. He found out that they harvest w sacks per day and that each sack containes x oranges. How many days will it take to harvest y sacks of oranges?,( y / w ),He then went to see the oranges being harvested. He found out that they harvest 16 sacks per day and that each sack containes 57 oranges. How many days will it take to harvest 80 sacks of oranges?,5
592,Robin has some packages of gum. There are w pieces in each package and a total of x pieces of gum. How many packages does Robin have?,( x / w ),Robin has some packages of gum. There are 3 pieces in each package and a total of 42 pieces of gum. How many packages does Robin have?,14
593,During the Arkansas and Texas tech game the Razorback t-shirt shop made $ w by selling x t-shirts. What is the cost of each t-shirt?,( w / x ),During the Arkansas and Texas tech game the Razorback t-shirt shop made $ 215 by selling 5 t-shirts. What is the cost of each t-shirt?,43
594,"The grasshopper, the frog and the mouse had a jumping contest. The grasshopper jumped w inches. The frog jumped x inches farther than the grasshopper and the mouse jumped y inches lesser than the frog. How far did the mouse jump?",( ( w + x ) - y ),"The grasshopper, the frog and the mouse had a jumping contest. The grasshopper jumped 25 inches. The frog jumped 32 inches farther than the grasshopper and the mouse jumped 26 inches lesser than the frog. How far did the mouse jump?",31
595,He then went to see the oranges being harvested. He found out that they harvest w sacks per day and discard x of them. How many oranges do they harvest per day if each sack contains y oranges?,( ( w - x ) * y ),He then went to see the oranges being harvested. He found out that they harvest 76 sacks per day and discard 64 of them. How many oranges do they harvest per day if each sack contains 50 oranges?,600
596,Jesse's room is w feet wide. If she needs a carpet of size x square feet What is the length of her room?,( x / w ),Jesse's room is 7 feet wide. If she needs a carpet of size 14 square feet What is the length of her room?,2
597,Every day Ryan spends w hours on learning english and x hours on learning chinese. If he learns for 2 days How many hours does he spend on learning english in all?,( w * y ),Every day Ryan spends 6 hours on learning english and 5 hours on learning chinese. If he learns for 2 days How many hours does he spend on learning english in all?,12
598,Ed had w more marbles than Doug. Doug lost x of his marbles at the playground. If Ed had y marbles How many more marbles did Ed have than Doug then?,( w + x ),Ed had 10 more marbles than Doug. Doug lost 11 of his marbles at the playground. If Ed had 45 marbles How many more marbles did Ed have than Doug then?,21
599,Carol was sending out birthday invitations to her friends. Each package of invitations she bought had w invitations in it and she bought x packs. If she sends invitations to only 2 friends How many invitations will be left?,( ( w * x ) - y ),Carol was sending out birthday invitations to her friends. Each package of invitations she bought had 10 invitations in it and she bought 7 packs. If she sends invitations to only 2 friends How many invitations will be left?,68
600,Rachel's tree had w apples initially. She picked some apples and now there are x apples left on the tree. How many apples did rachel pick?,( w - x ),Rachel's tree had 4 apples initially. She picked some apples and now there are 2 apples left on the tree. How many apples did rachel pick?,2
601,Bobby ate w pieces of candy. Then he ate x more. He also ate y pieces of chocolate. How many pieces of candy did Bobby eat?,( w + x ),Bobby ate 28 pieces of candy. Then he ate 42 more. He also ate 63 pieces of chocolate. How many pieces of candy did Bobby eat?,70
602,The Razorback shop makes $ w dollars off each jersey and $ x off each t-shirt. During the Arkansas and Texas tech game they sold y t-shirts and z jerseys. How much more does a jersey cost than a t-shirt?,( w - x ),The Razorback shop makes $ 115 dollars off each jersey and $ 25 off each t-shirt. During the Arkansas and Texas tech game they sold 113 t-shirts and 78 jerseys. How much more does a jersey cost than a t-shirt?,90
603,Bobby had w pieces of candy. He ate some pieces of candy. Then he ate x more. If he still has y pieces of candy left How many pieces of candy had he eaten at the start?,( ( w - x ) - y ),Bobby had 22 pieces of candy. He ate some pieces of candy. Then he ate 5 more. If he still has 8 pieces of candy left How many pieces of candy had he eaten at the start?,9
604,If each pack costs w dollars How much will it cost to buy x packs of dvds?,( w * x ),If each pack costs 81 dollars How much will it cost to buy 33 packs of dvds?,2673
605,There were w parents in the program and x pupils too. The program could seat y people How many people were present in the program?,( w + x ),There were 61 parents in the program and 177 pupils too. The program could seat 44 people How many people were present in the program?,238
606,Every day Ryan spends w hours on learning english and x hours on learning chinese. If he learns for y days How many hours does he spend on learning english and chinese each day?,( w + x ),Every day Ryan spends 4 hours on learning english and 6 hours on learning chinese. If he learns for 86 days How many hours does he spend on learning english and chinese each day?,10
607,Baker made w cakes and x pastries. If he sold y cakes and z pastries How many more cakes than pastries did baker make?,( w - x ),Baker made 126 cakes and 48 pastries. If he sold 115 cakes and 81 pastries How many more cakes than pastries did baker make?,78
608,At the arcade Dave had won w tickets. If he used x to buy some toys and y more to buy some clothes How many more tickets did Dave use to buy toys than he did to buy clothes?,( x - y ),At the arcade Dave had won 19 tickets. If he used 12 to buy some toys and 7 more to buy some clothes How many more tickets did Dave use to buy toys than he did to buy clothes?,5
609,"A grocery store had w bottles of regular soda, x bottles of diet soda and y apples. How many bottles did they have total?",( w + x ),"A grocery store had 30 bottles of regular soda, 8 bottles of diet soda and 41 apples. How many bottles did they have total?",38
610,There are w baskets of peaches. Each basket has x red peaches and y green peaches. How many peaches are in the baskets altogether?,( ( x + y ) * w ),There are 11 baskets of peaches. Each basket has 10 red peaches and 18 green peaches. How many peaches are in the baskets altogether?,308
611,Paul got a box of w crayons for his birthday. During the school year he gave x crayons to his friends while he lost y crayons. How many crayons did he have left?,( w - ( x + y ) ),Paul got a box of 440 crayons for his birthday. During the school year he gave 111 crayons to his friends while he lost 106 crayons. How many crayons did he have left?,223
612,Some campers went rowing in the morning while w campers went rowing in the afternoon. If a total of x campers went rowing that day How many campers went rowing in the morning?,( x - w ),Some campers went rowing in the morning while 7 campers went rowing in the afternoon. If a total of 60 campers went rowing that day How many campers went rowing in the morning?,53
613,He then went to see the oranges being harvested. He found out that they harvest w sacks per day and discard x of them. How many sacks of oranges will they have after y days of harvest?,( ( w - x ) * y ),He then went to see the oranges being harvested. He found out that they harvest 74 sacks per day and discard 71 of them. How many sacks of oranges will they have after 51 days of harvest?,153
614,Next on his checklist is wax to stick the feathers together. If he has w g of wax and right now he just needs x g Total how many grams of wax do the feathers require?,( w + x ),Next on his checklist is wax to stick the feathers together. If he has 557 g of wax and right now he just needs 17 g Total how many grams of wax do the feathers require?,574
615,Jerry had w books and x action figures on a shelf in his room. Later he added 2 more action figures to the shelf. How many more books than action figures were on his shelf?,( w - ( x + y ) ),Jerry had 7 books and 3 action figures on a shelf in his room. Later he added 2 more action figures to the shelf. How many more books than action figures were on his shelf?,2
616,Matthew gave w crackers to each his friends. If he had x crackers How many friends did he give crackers to?,( x / w ),Matthew gave 6 crackers to each his friends. If he had 36 crackers How many friends did he give crackers to?,6
617,Katie had w new games and x old games. Her friends had y new games. How many more games does Katie have than her friends?,( ( w + x ) - y ),Katie had 57 new games and 39 old games. Her friends had 34 new games. How many more games does Katie have than her friends?,62
618,w children were riding on the bus. At the bus stop x more children got on the bus. How many children are on the bus now?,( w + x ),26 children were riding on the bus. At the bus stop 38 more children got on the bus. How many children are on the bus now?,64
619,Josh had w marbles in his collection. He found x marbles. How many marbles does he have now?,( w + x ),Josh had 21 marbles in his collection. He found 7 marbles. How many marbles does he have now?,28
620,Jake brought w balloons to the park. If Jake brought x more balloons than the number of balloons that Allan brought How many balloons did Allan bring to the park?,( w - x ),Jake brought 6 balloons to the park. If Jake brought 4 more balloons than the number of balloons that Allan brought How many balloons did Allan bring to the park?,2
621,At the arcade Dave had won w tickets and lost x tickets. If he used y to buy some toys How many tickets did Dave have left?,( ( w - x ) - y ),At the arcade Dave had won 14 tickets and lost 2 tickets. If he used 10 to buy some toys How many tickets did Dave have left?,2
622,During summer break w kids from Lawrence county go to camp and the other x kids stay home. An additional y kids from outside the county attended the camp. About how many kids are in Lawrence county?,( w + x ),During summer break 610769 kids from Lawrence county go to camp and the other 590796 kids stay home. An additional 22 kids from outside the county attended the camp. About how many kids are in Lawrence county?,1201565
623,Edward had $ w. He spent $ x. How much money does Edward have now?,( w - x ),Edward had $ 18. He spent $ 16. How much money does Edward have now?,2
624,For Gwen's birthday she received w dollars from her dad. Her mom gave her x more dollars. If she spent y dollars. How much more money did she receive from her dad than she did from her mom?,( w - x ),For Gwen's birthday she received 5 dollars from her dad. Her mom gave her 2 more dollars. If she spent 6 dollars. How much more money did she receive from her dad than she did from her mom?,3
625,Robin's hair was w inches long. It grew by x inches. Then he cut off y inches. How long is his hair now?,( ( w - y ) + x ),Robin's hair was 14 inches long. It grew by 8 inches. Then he cut off 20 inches. How long is his hair now?,2
626,Edward spent $ w to buy x books each book costing him the same amount of money. Now he has $ y. How much did Edward have before he spent his money?,( w + y ),Edward spent $ 16 to buy 92 books each book costing him the same amount of money. Now he has $ 6. How much did Edward have before he spent his money?,22
627,During summer break w kids from Lawrence county go to camp and the other x kids stay home. An additional y kids from outside the county attended the camp. How many kids in total attended the camp?,( w + y ),During summer break 34044 kids from Lawrence county go to camp and the other 134867 kids stay home. An additional 424944 kids from outside the county attended the camp. How many kids in total attended the camp?,458988
628,Baker made w cakes and x pastries. If he sold y pastries and z cakes How many more cakes than pastries did baker sell?,( z - y ),Baker made 14 cakes and 153 pastries. If he sold 8 pastries and 97 cakes How many more cakes than pastries did baker sell?,89
629,"After a typhoon, w trees in Haley's backyard died. If she had grown x trees initially How many trees does she have left?",( x - w ),"After a typhoon, 2 trees in Haley's backyard died. If she had grown 12 trees initially How many trees does she have left?",10
630,Paco had w sweet cookies and x salty cookies. He ate y sweet cookies and z salty cookies. How many more salty cookies than sweet cookies did he eat?,( z - y ),Paco had 8 sweet cookies and 6 salty cookies. He ate 20 sweet cookies and 34 salty cookies. How many more salty cookies than sweet cookies did he eat?,14
631,"A grocery store had w bottles of regular soda, x bottles of diet soda and y apples. How many more bottles of regular soda than diet soda did they have?",( w - x ),"A grocery store had 79 bottles of regular soda, 53 bottles of diet soda and 42 apples. How many more bottles of regular soda than diet soda did they have?",26
632,Carol was sending out birthday invitations to w friends. She bought x packs each one having the same number of invitations. How many invitations are in each pack?,( w / x ),Carol was sending out birthday invitations to 12 friends. She bought 3 packs each one having the same number of invitations. How many invitations are in each pack?,4
633,Jake has w fewer peaches and x more apples than Steven. Steven has y peaches and z apples. How many apples does Jake have?,( x + z ),Jake has 13 fewer peaches and 3 more apples than Steven. Steven has 9 peaches and 8 apples. How many apples does Jake have?,11
634,Josh had w marbles in his collection. Jack gave him x marbles. How many marbles does Josh have now?,( w + x ),Josh had 22 marbles in his collection. Jack gave him 20 marbles. How many marbles does Josh have now?,42
635,Faye had w packs of pencils each one having x pencils. She was placing her pencils into rows with y pencils in each row. How many pencils does she have?,( w * x ),Faye had 31 packs of pencils each one having 6 pencils. She was placing her pencils into rows with 19 pencils in each row. How many pencils does she have?,186
636,Jake has w more apples and x fewer peaches than Steven. Steven has y peaches and z apples. How many peaches does Jake have?,( y - x ),Jake has 84 more apples and 10 fewer peaches than Steven. Steven has 13 peaches and 52 apples. How many peaches does Jake have?,3
637,Rebecca wants to split a collection of eggs into w groups. Rebecca has x eggs and y marbles. How many eggs will each group have?,( x / w ),Rebecca wants to split a collection of eggs into 4 groups. Rebecca has 8 eggs and 6 marbles. How many eggs will each group have?,2
638,Jack received w emails and sent x letters in the morning. He then received y emails and sent z letters in the afternoon. How many emails did Jack send in the day?,( x + z ),Jack received 4 emails and sent 2 letters in the morning. He then received 6 emails and sent 8 letters in the afternoon. How many emails did Jack send in the day?,10
639,"Rachel had to complete w pages of math homework, x pages of reading homework and y more pages of biology homework. How many more pages of reading homework than biology homework did she have?",( x - y ),"Rachel had to complete 7 pages of math homework, 11 pages of reading homework and 8 more pages of biology homework. How many more pages of reading homework than biology homework did she have?",3
640,Dan has $ w. He bought some candy bar for $ x each one costing $ y. How many candy bar did he buy?,( x / y ),Dan has $ 2. He bought some candy bar for $ 6 each one costing $ 3. How many candy bar did he buy?,2
641,"Lucy went to the grocery store. She bought w packs of cookie, x packs of cake and y packs of chocolate. How many packs of groceries did she buy in all?",( ( w + x ) + y ),"Lucy went to the grocery store. She bought 4 packs of cookie, 22 packs of cake and 16 packs of chocolate. How many packs of groceries did she buy in all?",42
642,The school has w grades and each grade has x students How many students were there in total?,( w * x ),The school has 304 grades and each grade has 75 students How many students were there in total?,22800
643,The cave is w feet deep and they are already at x feet. If they are travelling at speed of y How much farther until they reach the end of the cave?,( w - x ),The cave is 1218 feet deep and they are already at 849 feet. If they are travelling at speed of 17 How much farther until they reach the end of the cave?,369
644,Bobby had w pieces of candy. He ate some pieces of candy. If he has x pieces of candy left How many pieces of candy did Bobby eat?,( w - x ),Bobby had 32 pieces of candy. He ate some pieces of candy. If he has 20 pieces of candy left How many pieces of candy did Bobby eat?,12
645,Baker sold w cakes. If he had made x cakes initially How many more cakes did baker make than those he sold?,( x - w ),Baker sold 8 cakes. If he had made 40 cakes initially How many more cakes did baker make than those he sold?,32
646,"After eating a hearty meal they went to see the Buckingham palace. There, Rachel learned that w visitors came to the Buckingham palace that day. If there were x visitors the previous day and y visitors the day before that How many visited the Buckingham palace before that day?",( x + y ),"After eating a hearty meal they went to see the Buckingham palace. There, Rachel learned that 92 visitors came to the Buckingham palace that day. If there were 419 visitors the previous day and 103 visitors the day before that How many visited the Buckingham palace before that day?",522
647,"After eating a hearty meal they went to see the Buckingham palace. There, Rachel learned that w visitors came to the Buckingham palace on the previous day. If there were x visitors on that day How many more visitors visited the Buckingham palace on that day than on the previous day?",( x - w ),"After eating a hearty meal they went to see the Buckingham palace. There, Rachel learned that 100 visitors came to the Buckingham palace on the previous day. If there were 666 visitors on that day How many more visitors visited the Buckingham palace on that day than on the previous day?",566
648,In Haley's class w are boys who love to play marbles. If Haley has x marbles and wants to keep y marbles for herself How many will each of the boys receive?,( ( x - y ) / w ),In Haley's class 4 are boys who love to play marbles. If Haley has 23 marbles and wants to keep 15 marbles for herself How many will each of the boys receive?,2
649,Matthew had w crackers and x cakes. If Matthew gave equal numbers of crackers and cakes to his y friends How many crackers did each person eat?,( w / y ),Matthew had 22 crackers and 34 cakes. If Matthew gave equal numbers of crackers and cakes to his 11 friends How many crackers did each person eat?,2
650,Rachel has w apple trees. She picked x apples from each of her trees. Now the trees have a total y apples still on them. How many apples were there on all trees initially?,( ( w * x ) + y ),Rachel has 3 apple trees. She picked 8 apples from each of her trees. Now the trees have a total 9 apples still on them. How many apples were there on all trees initially?,33
651,Mary is baking a cake. The recipe calls for w cups of flour and x cups of sugar. She already put in y cups of flour. How many more cups of sugar than cups of flour does she need to add now?,( x - ( w - y ) ),Mary is baking a cake. The recipe calls for 9 cups of flour and 11 cups of sugar. She already put in 4 cups of flour. How many more cups of sugar than cups of flour does she need to add now?,6
652,The school is planning a field trip. The school has w classrooms. There are x school buses and a total of y students in the school. If all buses are full How many seats are in each bus?,( y / x ),The school is planning a field trip. The school has 17 classrooms. There are 46 school buses and a total of 92 students in the school. If all buses are full How many seats are in each bus?,2
653,For Gwen's birthday she received some dollars. She spent w dollars and has x dollars left with her. How much money did Gwen receive for her birthday?,( w + x ),For Gwen's birthday she received some dollars. She spent 8 dollars and has 6 dollars left with her. How much money did Gwen receive for her birthday?,14
654,Danny collects bottle caps. He lost w bottle caps at the park. Now he has x bottle caps in his collection. How many bottle caps did danny have at first?,( w + x ),Danny collects bottle caps. He lost 66 bottle caps at the park. Now he has 25 bottle caps in his collection. How many bottle caps did danny have at first?,91
655,Jake has w fewer peaches than Steven. Steven has x more peaches than Jill. If jill has y peaches How many peaches does Jake have?,( ( x + y ) - w ),Jake has 6 fewer peaches than Steven. Steven has 18 more peaches than Jill. If jill has 5 peaches How many peaches does Jake have?,17
656,During summer break w kids from Lawrence county stay home and the other x kids go to camp. About how many kids are in Lawrence county?,( x + w ),During summer break 907611 kids from Lawrence county stay home and the other 455682 kids go to camp. About how many kids are in Lawrence county?,1363293
657,Jerry had w action figures and x books on a shelf in his room. Later he added y more books to the shelf. How many books were on his shelf in all?,( x + y ),Jerry had 8 action figures and 9 books on a shelf in his room. Later he added 10 more books to the shelf. How many books were on his shelf in all?,19
658,w birds and x storks were sitting on the fence. 2 more storks came to join them. How many storks are sitting on the fence?,( x + y ),4 birds and 6 storks were sitting on the fence. 2 more storks came to join them. How many storks are sitting on the fence?,8
659,Allan brought w balloons and Jake brought x balloons to the park. Jake then bought y more balloons at the park. How many more balloons did Allan have than Jake in the park?,( w - ( x + y ) ),Allan brought 6 balloons and Jake brought 2 balloons to the park. Jake then bought 3 more balloons at the park. How many more balloons did Allan have than Jake in the park?,1
660,Faye was placing her pencils and crayons into w rows with x pencils and y crayons in each row. How many pencils does she have?,( w * x ),Faye was placing her pencils and crayons into 19 rows with 4 pencils and 27 crayons in each row. How many pencils does she have?,76
661,The Razorback t-shirt shop sells each t-shirt for $ w dollars. During the Arkansas and Texas tech game they increased the prices by $ x per t-shirt and sold y t-shirts. How much money did they make from selling the t-shirts?,( ( w + x ) * y ),The Razorback t-shirt shop sells each t-shirt for $ 201 dollars. During the Arkansas and Texas tech game they increased the prices by $ 217 per t-shirt and sold 14 t-shirts. How much money did they make from selling the t-shirts?,5852
662,Ed had w more marbles than Doug. Ed lost x of his marbles at the playground. If Ed had y marbles How many marbles does Doug have now?,( y - w ),Ed had 12 more marbles than Doug. Ed lost 20 of his marbles at the playground. If Ed had 17 marbles How many marbles does Doug have now?,5
663,Lawrence county has w kids. During summer break x kids stay home and the rest go to camp. How many kids go to the camp during the break?,( w - x ),Lawrence county has 313473 kids. During summer break 274865 kids stay home and the rest go to camp. How many kids go to the camp during the break?,38608
664,The Razorback shop makes $ w dollars off each jersey and $ x off each t-shirt. During the Arkansas and Texas tech game they sold y t-shirts and z jerseys. How much more does a t-shirt cost than a jersey?,( x - w ),The Razorback shop makes $ 210 dollars off each jersey and $ 240 off each t-shirt. During the Arkansas and Texas tech game they sold 177 t-shirts and 23 jerseys. How much more does a t-shirt cost than a jersey?,30
665,Dan has $ w. He bought a candy bar for $ x and a chocolate for $ y. How much money did he spend buying the candy bar and chocolate?,( x + y ),Dan has $ 4. He bought a candy bar for $ 7 and a chocolate for $ 6. How much money did he spend buying the candy bar and chocolate?,13
666,Jerry had w action figures and x books on a shelf in his room. Later he added y more action figures to the shelf. How many action figures were on his shelf in all?,( w + y ),Jerry had 4 action figures and 22 books on a shelf in his room. Later he added 6 more action figures to the shelf. How many action figures were on his shelf in all?,10
667,Mary is baking a cake. The recipe calls for w cups of sugar and some more cups of flour. She already put in x cups of flour. If she still needs to add y more cups of flour How many cups of flour did the recipe require?,( x + y ),Mary is baking a cake. The recipe calls for 11 cups of sugar and some more cups of flour. She already put in 3 cups of flour. If she still needs to add 6 more cups of flour How many cups of flour did the recipe require?,9
668,Baker made w cakes and x pastries. If he sold y cakes and z pastries How many more pastries than cakes did baker sell?,( z - y ),Baker made 54 cakes and 143 pastries. If he sold 68 cakes and 92 pastries How many more pastries than cakes did baker sell?,24
669,w birds and x storks were sitting on the fence. y more birds came to join them. How many birds and storks are sitting on the fence?,( ( w + y ) + x ),3 birds and 2 storks were sitting on the fence. 5 more birds came to join them. How many birds and storks are sitting on the fence?,10
670,Julia played tag with w kids on monday and x kids on tuesday. She played cards wtih y kids on wednesday. How many kids did she play tag with altogether?,( w + x ),Julia played tag with 7 kids on monday and 13 kids on tuesday. She played cards wtih 20 kids on wednesday. How many kids did she play tag with altogether?,20
671,"Being his favorite, he saved checking on the grapevines for his last stop. He was told by w of the pickers that they fill x drums of grapes per day. How many days will it take to fill y drums of grapes?",( y / x ),"Being his favorite, he saved checking on the grapevines for his last stop. He was told by 36 of the pickers that they fill 8 drums of grapes per day. How many days will it take to fill 240 drums of grapes?",30
672,Bobby ate w pieces of candy. If he initially had x pieces of candy How many pieces of candy does he still have left?,( x - w ),Bobby ate 23 pieces of candy. If he initially had 30 pieces of candy How many pieces of candy does he still have left?,7
673,The Ferris wheel in paradise park has w seats. Each seat can hold x people. If y seats are broken How many people can ride the Ferris wheel at the same time?,( ( w - y ) * x ),The Ferris wheel in paradise park has 18 seats. Each seat can hold 15 people. If 10 seats are broken How many people can ride the Ferris wheel at the same time?,120
674,Robin's hair was w inches long. He cut off x inches. Then it again grew by y inches. How long is his hair now?,( ( w - x ) + y ),Robin's hair was 16 inches long. He cut off 11 inches. Then it again grew by 12 inches. How long is his hair now?,17
675,Frank was reading through his favorite book. The book had w pages equally distributed over x chapters. It took Frank y days to finish the book. How many chapters did he read per day?,( y / x ),Frank was reading through his favorite book. The book had 193 pages equally distributed over 15 chapters. It took Frank 660 days to finish the book. How many chapters did he read per day?,44
676,"The grasshopper, the frog and the mouse had a jumping contest. The grasshopper jumped w inches. The grasshopper jumped x inches farther than the frog and the mouse jumped y inches lesser than the frog. How far did the frog jump?",( w - x ),"The grasshopper, the frog and the mouse had a jumping contest. The grasshopper jumped 19 inches. The grasshopper jumped 4 inches farther than the frog and the mouse jumped 44 inches lesser than the frog. How far did the frog jump?",15
677,Winter is almost here and most animals are migrating to warmer countries. There are w bird families living near the mountain. If x bird families flew away to africa and y bird families flew away to asia How many bird families flew away for the winter?,( x + y ),Winter is almost here and most animals are migrating to warmer countries. There are 18 bird families living near the mountain. If 38 bird families flew away to africa and 80 bird families flew away to asia How many bird families flew away for the winter?,118
678,Matthew had w crackers. He has x crackers left after he gave equal numbers of crackers to his 2 friends. How many crackers did each friend eat?,( ( w - x ) / y ),Matthew had 23 crackers. He has 11 crackers left after he gave equal numbers of crackers to his 2 friends. How many crackers did each friend eat?,6
679,Rachel's tree had w apples. She picked x apples from her tree. Thereafter y new apples grew on the tree. How many apples are there on the tree now?,( ( w - x ) + y ),Rachel's tree had 4 apples. She picked 2 apples from her tree. Thereafter 3 new apples grew on the tree. How many apples are there on the tree now?,1
680,Summer is almost here and most animals are migrating back to cooler countries. There are w bird families living near a mountain. If x new bird families joined them How many bird families live near the mountain now?,( w + x ),Summer is almost here and most animals are migrating back to cooler countries. There are 87 bird families living near a mountain. If 18 new bird families joined them How many bird families live near the mountain now?,105
